a_id,b_id,count_east,east_consistency
2,2,378722.7000000617,0.2772366484263479
2,44,5968.000000000107,-0.047794100863916514
44,2,5486.399999999939,-0.06437971877227384
73,2,4988.500000000062,-0.0585104729593702
2,73,4653.89999999995,-0.07918656614031054
2,11,4393.200000000072,-0.04408869451837245
11,2,4022.199999999955,-0.0602985030157669
13,2,3687.9000000000487,-0.05947322282481842
2,13,3626.699999999973,-0.06864091919584786
2,38,3583.1999999999935,-0.04088282737848
38,2,3510.6000000000013,-0.03298814308175111
2,47,3411.7000000000176,-0.027824639877973012
47,2,3196.7000000000025,-0.041354699431916504
2,52,3193.600000000023,-0.030282829521878177
8,2,2958.400000000013,-0.012588552511877703
2,12,2954.50000000002,-0.012239584343307764
46,2,2900.9000000000115,-0.032289554472553876
2,33,2847.3999999999965,-0.16937474621860474
33,2,2818.500000000004,-0.16988517636522163
17,2,2739.800000000001,-0.009510351273909944
2,62,2545.700000000005,-0.041379584546397945
65,2,2524.4000000000033,-0.04099284328428848
52,2,2516.100000000001,-0.07110181852693986
2,40,2427.7999999999993,-0.022183557261678623
2,29,2349.1,-0.06353179157398316
12,2,2313.5999999999967,-0.05297062637505515
75,2,2293.7000000000007,-0.04356540989769728
29,2,2282.6000000000035,-0.06783535237440803
2,46,2272.200000000004,-0.07834845246212226
2,61,2224.0999999999976,-0.023637454424378243
2,8,2205.9999999999895,-0.0643253123702285
2,1,2149.799999999991,-0.04291668123954708
31,2,2149.3999999999883,-0.04470660512506349
2,18,2095.9999999999945,-0.12503176926109116
2,41,2091.499999999993,-0.01155994307081211
67,2,2054.499999999997,-0.0025186934764991945
24,2,2044.8999999999808,-0.06442526786452643
62,2,2040.8999999999915,-0.07616118688307516
2,24,1988.3000000000045,-0.0717059005444683
2,65,1977.299999999991,-0.08265477682842329
64,2,1952.9999999999866,-0.07692842551720394
2,69,1928.499999999997,-0.0100233448441922
2,17,1920.2999999999965,-0.07535012407976198
2,36,1918.2000000000025,-0.06364022815585767
2,31,1897.8999999999935,-0.06652263813722438
2,37,1893.4999999999875,-0.08273565029298696
18,2,1885.1999999999973,-0.1393779225546201
61,2,1874.0999999999874,-0.0466669625969465
1,2,1873.4999999999961,-0.0641303282693352
2,75,1858.2999999999854,-0.07707123158002727
40,2,1816.7999999999975,-0.06959434588894384
2,39,1762.29999999999,-0.1067072169250821
20,2,1754.700000000002,-0.016569704564292277
60,2,1744.8999999999976,-0.036071161260618746
32,2,1727.9000000000046,-0.020253978907459766
7,2,1725.299999999996,-0.07180260731181227
37,2,1700.2999999999909,-0.09776378887378617
2,9,1685.5,-0.015872920264474535
6,2,1677.399999999995,-0.1283732791360127
41,2,1665.5999999999926,-0.047417649827816585
2,27,1634.5999999999924,-0.012883648362620998
2,64,1630.7999999999915,-0.10481025310739076
2,60,1630.2999999999881,-0.04660380115565585
69,2,1614.5000000000045,-0.04136040675067668
42,2,1590.3999999999987,-0.09537281616750296
2,67,1576.7999999999952,-0.049543004039036845
51,2,1575.9999999999955,-0.022252513230119
39,2,1569.8999999999992,-0.12241934662792472
2,6,1568.1,-0.13883721508831343
2,20,1543.6000000000042,-0.04808007242079391
2,42,1539.6000000000006,-0.1018417897535841
2,53,1527.9000000000094,-0.11018869934156693
2,51,1506.6000000000024,-0.03470212982357195
2,7,1484.0999999999924,-0.09539751742571895
2,25,1466.9999999999973,-0.10271697783955987
2,74,1463.799999999998,-0.10848618079394394
27,2,1458.4000000000005,-0.03138077880122843
58,2,1457.499999999992,-0.08453718091878187
2,21,1443.899999999993,-0.07492026062276898
59,2,1438.8999999999912,-0.06224971862655734
53,2,1437.0000000000116,-0.11750753436511989
25,2,1435.3999999999978,-0.10487384916957379
2,16,1391.5000000000064,-0.11983220279580595
2,63,1367.5000000000043,-0.10126052948210702
2,50,1366.2999999999956,-0.018649831154655454
23,2,1362.6999999999991,-0.08550002539317218
2,19,1356.3999999999987,-0.10893379327984669
36,2,1349.9999999999914,-0.1114999029816283
2,23,1304.900000000006,-0.09308323979755717
57,2,1300.1999999999973,-0.01840418377896824
19,2,1277.3000000000095,-0.11596722147532425
2,32,1267.400000000005,-0.08046765790910373
33,33,1257.2,0.298915911220057
9,2,1234.1000000000047,-0.0665810564746286
16,2,1232.8000000000047,-0.13531964401253077
2,58,1227.4999999999966,-0.1100041068820201
4,2,1192.8999999999935,-0.0668765731996534
63,2,1191.9999999999993,-0.11864255881280178
2,59,1176.2999999999938,-0.09219245030123739
21,2,1176.2000000000044,-0.10356797272455812
74,2,1153.4999999999998,-0.13973673762143357
43,2,1133.700000000007,-0.1165100550439074
2,34,1128.8000000000045,-0.10829581719284652
2,43,1121.4999999999993,-0.11937088218887543
2,35,1106.6999999999941,-0.07797306148705448
2,56,1098.1999999999996,-0.10774373914624426
72,2,1096.9999999999998,-0.09828227645169259
2,5,1096.3000000000022,-0.13052723102354688
35,2,1089.4999999999932,-0.07895295250093574
50,2,1077.9999999999998,-0.05347564586450767
2,57,1048.7,-0.05485825759412375
2,4,1021.5000000000024,-0.09109279669145341
2,54,1013.2999999999948,-0.07187421473005247
56,2,999.0999999999974,-0.11952381814779939
22,2,997.7000000000016,-0.1271609790052498
2,72,967.0999999999997,-0.11643392684887736
30,2,937.599999999998,-0.07738749172899129
71,2,918.2999999999986,-0.11190603459246716
2,66,915.4999999999976,-0.05528931764181403
2,14,907.799999999998,-0.08160224785228698
34,2,892.3999999999987,-0.1369794289480203
2,28,889.2999999999981,-0.08255301398439631
2,10,887.9999999999986,-0.09288055581934869
49,2,884.8999999999978,-0.06341759267328256
54,2,869.5999999999998,-0.09178472495833416
2,71,837.100000000002,-0.12505639212954142
2,22,827.3000000000039,-0.151933679212275
2,30,822.5000000000008,-0.09610770452645838
5,2,811.400000000004,-0.16760380560709784
66,2,810.3999999999999,-0.07069612597272901
2,49,805.7999999999994,-0.07746840094253121
2,15,767.9999999999999,-0.07496298188108992
2,3,747.3000000000017,-0.1267114172061432
10,2,738.1000000000005,-0.11608128441987808
15,2,734.3000000000002,-0.07954552387486812
68,2,699.0999999999992,-0.010110122502566533
14,2,697.7999999999997,-0.114972109701578
28,2,682.2999999999996,-0.11539131447261448
55,2,677.1000000000013,-0.13388112209969572
2,68,655.2999999999997,-0.02046910279183394
2,55,604.2000000000007,-0.1483566455237802
3,2,538.9999999999985,-0.16502320497726417
39,11,522.0999999999993,0.29050134228298846
7,44,508.70000000000016,0.27494681841700747
2,48,497.39999999999895,-0.10231287787863795
73,65,445.89999999999986,0.24251226628494413
48,2,438.3999999999987,-0.11508448202602502
13,58,425.59999999999945,0.30595763790384334
21,44,406.4999999999995,0.2567544213946834
62,44,403.1999999999999,0.2122205566152056
46,64,383.7,0.30903519241444477
44,18,379.3000000000003,0.16097896809003653
73,4,372.89999999999947,0.28497728762783725
33,18,362.1999999999995,0.15710828666166682
73,36,354.40000000000015,0.22418457033126235
6,73,350.60000000000036,0.18159314231893894
2,70,347.79999999999933,-0.08363718820932274
6,33,344.6999999999999,0.17141077319989698
37,52,315.6,0.26693919833300406
33,5,315.2000000000001,0.20407733921607196
70,2,313.4999999999995,-0.09057693804365614
74,74,309.0,0.3059729628070171
42,42,306.5,0.3043722426163836
74,47,304.3,0.2640679682242838
29,44,301.09999999999945,0.1606648257414869
53,53,299.6,0.2886816777734833
2,45,296.80000000000024,-0.13900435747167228
44,44,296.7000000000001,0.057663357200424224
16,16,294.7,0.29115695435143024
33,13,285.3000000000002,0.10071365674438505
73,8,283.7000000000001,0.17313083255931858
38,42,283.00000000000006,0.2442926697433115
63,16,278.90000000000003,0.29954586642416864
22,33,277.2,0.19711777722823526
45,2,275.8000000000002,-0.1462971471899941
12,44,271.1,0.15480959013168175
