a_id,b_id,count_west,west_consistency
2,2,378722.7000000617,0.2772366484263479
44,2,5968.000000000107,-0.047794100863916514
2,44,5486.399999999939,-0.06437971877227384
2,73,4988.500000000063,-0.05851047295937023
73,2,4653.89999999995,-0.07918656614031054
11,2,4393.200000000072,-0.04408869451837245
2,11,4022.199999999955,-0.0602985030157669
2,13,3687.9000000000487,-0.05947322282481842
13,2,3626.699999999973,-0.06864091919584786
38,2,3583.1999999999935,-0.04088282737848
2,38,3510.6000000000013,-0.03298814308175111
47,2,3411.7000000000176,-0.027824639877973012
2,47,3196.7000000000025,-0.041354699431916504
52,2,3193.600000000024,-0.0302828295218782
2,8,2958.400000000013,-0.012588552511877703
12,2,2954.50000000002,-0.012239584343307764
2,46,2900.9000000000115,-0.032289554472553876
33,2,2847.3999999999965,-0.16937474621860474
2,33,2818.500000000004,-0.16988517636522163
2,17,2739.800000000001,-0.009510351273909944
62,2,2545.700000000005,-0.041379584546397945
2,65,2524.4000000000033,-0.04099284328428848
2,52,2516.100000000001,-0.07110181852693986
40,2,2427.7999999999993,-0.022183557261678623
29,2,2349.1,-0.06353179157398316
2,12,2313.5999999999967,-0.05297062637505515
2,75,2293.7000000000007,-0.04356540989769728
2,29,2282.6000000000035,-0.06783535237440803
46,2,2272.200000000004,-0.07834845246212226
61,2,2224.0999999999976,-0.023637454424378243
8,2,2205.9999999999895,-0.0643253123702285
1,2,2149.799999999991,-0.04291668123954708
2,31,2149.3999999999883,-0.04470660512506349
18,2,2095.9999999999945,-0.12503176926109116
41,2,2091.499999999993,-0.01155994307081211
2,67,2054.499999999997,-0.0025186934764991945
2,24,2044.8999999999808,-0.06442526786452643
2,62,2040.8999999999915,-0.07616118688307516
24,2,1988.3000000000045,-0.0717059005444683
65,2,1977.299999999991,-0.08265477682842329
2,64,1952.9999999999866,-0.07692842551720394
69,2,1928.499999999997,-0.0100233448441922
17,2,1920.2999999999965,-0.07535012407976198
36,2,1918.2000000000025,-0.06364022815585767
31,2,1897.8999999999935,-0.06652263813722438
37,2,1893.4999999999875,-0.08273565029298696
2,18,1885.1999999999973,-0.1393779225546201
2,61,1874.0999999999874,-0.0466669625969465
2,1,1873.4999999999961,-0.0641303282693352
75,2,1858.2999999999854,-0.07707123158002727
2,40,1816.7999999999975,-0.06959434588894384
39,2,1762.29999999999,-0.1067072169250821
2,20,1754.700000000002,-0.016569704564292277
2,60,1744.8999999999976,-0.036071161260618746
2,32,1727.9000000000046,-0.020253978907459766
2,7,1725.299999999996,-0.07180260731181227
2,37,1700.2999999999909,-0.09776378887378617
9,2,1685.5,-0.015872920264474535
2,6,1677.399999999995,-0.1283732791360127
2,41,1665.5999999999926,-0.047417649827816585
27,2,1634.5999999999924,-0.012883648362620998
64,2,1630.7999999999915,-0.10481025310739076
60,2,1630.2999999999881,-0.04660380115565585
2,69,1614.5000000000045,-0.04136040675067668
2,42,1590.3999999999987,-0.09537281616750296
67,2,1576.7999999999952,-0.049543004039036845
2,51,1575.9999999999955,-0.022252513230119
2,39,1569.8999999999992,-0.12241934662792472
6,2,1568.1,-0.13883721508831343
20,2,1543.6000000000042,-0.04808007242079391
42,2,1539.6000000000006,-0.1018417897535841
53,2,1527.9000000000094,-0.11018869934156693
51,2,1506.6000000000024,-0.03470212982357195
7,2,1484.0999999999924,-0.09539751742571895
25,2,1466.9999999999975,-0.10271697783955987
74,2,1463.799999999998,-0.10848618079394394
2,27,1458.4000000000005,-0.03138077880122843
2,58,1457.499999999992,-0.08453718091878187
21,2,1443.899999999993,-0.07492026062276898
2,59,1438.8999999999912,-0.06224971862655734
2,53,1437.0000000000116,-0.11750753436511989
2,25,1435.3999999999978,-0.10487384916957379
16,2,1391.5000000000064,-0.11983220279580595
63,2,1367.5000000000043,-0.10126052948210702
50,2,1366.2999999999956,-0.018649831154655454
2,23,1362.6999999999991,-0.08550002539317218
19,2,1356.3999999999987,-0.10893379327984669
2,36,1349.9999999999914,-0.1114999029816283
23,2,1304.900000000006,-0.09308323979755717
2,57,1300.1999999999969,-0.018404183778968276
2,19,1277.3000000000095,-0.11596722147532425
