a_id,b_id,count_north,north_consistency
2,2,9563.60000000001,0.08798984800384986
2,18,761.8000000000019,-0.051385748322910076
18,2,662.4000000000008,-0.05184162851576503
2,50,637.600000000001,-0.05724852947122168
2,1,603.5999999999998,-0.03610849905582224
2,91,513.4999999999992,-0.03892582627420384
1,2,512.5999999999991,-0.049653510561238706
50,50,500.4000000000002,0.3601060071967749
50,2,480.1999999999986,-0.08398317757248591
18,18,451.10000000000014,0.2796984189955901
2,143,408.50000000000017,0.14953634287211856
2,76,388.60000000000105,-0.04698812216807027
91,2,387.39999999999947,-0.08247077338057465
76,2,369.59999999999934,0.14352311881373134
2,107,353.39999999999986,0.10547228555564853
2,17,352.1999999999993,-0.04783134598223702
17,2,327.3999999999993,-0.04464229879712163
2,104,318.9999999999996,-0.015028496579235202
1,1,278.1000000000001,0.2676951208614091
2,41,268.5000000000003,-0.00048416647972880834
2,57,264.79999999999956,-0.02158285456359283
2,133,264.29999999999967,-0.03387358391398459
133,2,258.7999999999995,-0.029256338864040794
2,14,252.69999999999996,0.17450322175912042
104,2,251.29999999999947,-0.048061572630903104
57,2,248.19999999999973,-0.048917214203754306
2,141,244.4,0.01724939679962788
41,2,242.70000000000027,0.02182488706165391
91,91,236.90000000000006,0.2724308747563031
2,36,225.60000000000042,-0.022573491815343457
143,2,223.70000000000027,-0.06127612211626055
2,80,221.3999999999995,-0.04764719264340854
2,89,218.5000000000001,-0.005893012454614544
2,30,209.40000000000032,-0.026962480471704915
2,127,207.10000000000008,0.1698018636969476
100,2,203.7999999999997,0.15401262131798926
49,2,199.80000000000013,0.023663029374330898
2,106,198.89999999999972,0.1644755529141923
2,124,193.50000000000014,0.12442239073283574
107,2,188.50000000000009,-0.08187694823780413
2,16,186.1000000000001,-0.09289476912515496
80,2,184.1999999999997,-0.08553302153341455
36,2,183.5999999999998,0.1848481166665898
17,17,182.70000000000005,0.3290799650216767
2,15,181.9,-0.010846889321096467
2,49,176.60000000000005,-0.04116345565266234
129,2,176.29999999999993,-0.0503516397003737
18,50,175.0,0.10613585799535666
80,80,172.70000000000007,0.43695627607828885
30,2,171.7000000000001,-0.03676526979351398
2,135,169.29999999999995,0.08559523496153221
89,2,167.50000000000009,-0.03352638307376513
2,90,163.7000000000001,-0.03909329293859451
2,84,160.7999999999999,0.05185597411143028
2,6,157.79999999999976,-0.09493086113651948
2,59,157.70000000000005,-0.041699496395669014
2,95,157.3999999999999,0.149817092711129
2,45,157.3000000000001,-0.0007757724299287446
91,1,156.0999999999999,0.165522650250651
124,2,154.3000000000001,0.04192720370480513
41,41,154.29999999999995,0.4847195718909742
45,2,151.3,0.034165096416519304
1,18,150.19999999999996,0.09744088888448339
2,146,148.8,0.1640203117809465
2,100,148.49999999999997,-0.03522836857886763
2,9,147.70000000000005,-0.04196023517685229
106,2,146.1999999999999,-0.011708470194160795
2,74,145.49999999999994,-0.03650652448587573
59,2,143.2,-0.04551457603200025
135,2,143.0,0.08387277664873762
2,34,142.99999999999997,-0.03861968505898405
14,2,142.79999999999995,-0.02314299090753605
2,8,140.5,-0.056813735427305334
2,71,135.90000000000003,0.1009020308794314
127,2,132.69999999999996,0.02462079467717074
2,66,132.59999999999994,0.10084476811868565
2,39,131.20000000000022,-0.09202832835847205
2,55,131.19999999999993,0.1427020834066448
74,2,130.89999999999992,-0.013489970910136763
87,2,130.40000000000012,-0.042432490099621745
2,42,129.70000000000005,0.13419898164305696
2,128,129.50000000000014,-0.06951567597333516
8,2,128.79999999999993,-0.03537735935391106
15,2,128.19999999999996,-0.06320171039822053
2,52,126.89999999999986,-0.09193710091935735
2,138,125.9,0.13848603668538909
2,114,125.69999999999996,0.1404942191715501
84,2,124.20000000000003,0.023617412637944975
2,77,121.19999999999992,-0.11578561057457956
111,2,121.09999999999992,-0.030051802964808267
142,2,120.8999999999999,-0.031656539098622684
2,7,120.69999999999996,-0.029880983760544894
57,57,120.39999999999998,0.3456027784326706
2,61,118.99999999999987,-0.05362648039934219
133,133,118.29999999999998,0.34275050361225035
2,65,117.40000000000002,-0.03663771638270611
2,32,116.6,0.13137979165372138
121,2,115.99999999999993,0.031988205185353
34,2,115.69999999999992,-0.0414724981934662
90,2,115.50000000000007,0.11342129314941221
2,139,115.49999999999993,-0.00186203644085778
2,129,115.2,0.09272196948114461
7,2,113.99999999999993,-0.008059216485409509
141,2,112.8,-0.038751989890670094
26,2,111.80000000000015,-0.08588826226372466
2,87,111.50000000000007,-0.06222157434901858
129,18,111.49999999999994,0.20054727828774763
24,2,111.30000000000014,0.13649225122258457
2,121,110.99999999999994,0.006172265411856575
2,142,110.59999999999997,-0.03384247625235235
2,150,109.89999999999996,0.08608153070627418
104,104,109.09999999999998,0.30270450209617317
56,2,107.79999999999997,-0.032842490716278726
79,2,107.50000000000007,0.12763545786954808
21,2,107.39999999999992,-0.018680971543888748
126,2,106.20000000000003,0.12670484296673362
4,2,104.90000000000013,-0.06895886550923357
2,99,104.69999999999992,-0.07905058060288057
2,126,104.59999999999994,-0.05925709136654925
2,56,103.99999999999996,-0.07139270233958586
2,22,103.2,-0.0004277835892497351
2,24,101.49999999999994,-0.03603666718165303
17,91,101.39999999999998,0.16595065306779164
2,5,101.1,0.11356652325007247
18,6,100.99999999999996,0.17632242923241884
2,109,100.8999999999999,-0.014251883835199056
50,18,100.7,0.015076062973192953
70,2,99.1999999999999,-0.02079668539708898
2,102,99.10000000000008,0.1482208065073947
2,47,99.00000000000006,-0.05404999088661227
125,2,98.70000000000003,0.0873246972748611
83,2,98.39999999999992,-0.018739003673784806
2,83,98.29999999999997,-0.012166362470151662
2,23,97.69999999999996,-0.019956874535489638
95,2,97.29999999999993,-0.010528421451238215
50,6,96.6,0.18911866825229356
2,147,95.80000000000004,-0.08471292901243847
2,31,95.7999999999999,-0.053165319330251065
26,50,95.69999999999996,0.2232676633543012
18,93,95.2,0.21152643057841453
129,50,94.29999999999997,0.1915763236298319
86,2,94.1,0.11698435062525935
96,2,93.70000000000007,0.1561103332106344
22,2,93.29999999999998,0.014783958736639699
99,2,93.20000000000007,0.1669547289029427
144,2,92.30000000000014,-0.0664127269466783
2,38,91.50000000000004,0.12633275430515856
71,2,90.29999999999997,-0.07118397887072297
2,93,89.4,-0.12501280869364645
57,133,89.39999999999998,0.27701006727154537
62,2,89.09999999999998,0.022431628194155145
23,2,89.0000000000001,0.10691766008299908
2,96,88.99999999999996,-0.10989264319312536
148,2,88.89999999999992,-0.03777790199363229
9,2,88.70000000000006,0.1116427160851853
2,97,88.4999999999999,-0.10718697467703928
2,53,88.30000000000014,-0.04438563313255386
2,67,88.20000000000022,-0.049032271491057045
2,86,87.39999999999998,0.005336045634451904
30,16,87.3,0.331386553092648
2,131,87.20000000000002,0.14013846360855545
2,54,87.00000000000004,0.09282241072095186
2,113,86.99999999999994,-0.03991835994618794
55,2,86.89999999999995,-0.019313118580736307
109,2,86.59999999999997,-0.009549260098565937
2,130,86.2,0.1265305535611194
26,18,85.59999999999998,0.18310922059564555
16,2,85.39999999999998,0.08256898280858803
2,62,85.19999999999997,-0.0027806020614054064
18,39,83.8,0.17143566714780503
66,2,83.29999999999995,0.03686197146505872
2,98,82.80000000000003,-0.03811365694935013
114,2,82.59999999999995,0.006246523269616278
110,2,82.39999999999992,-0.043839892482201326
1,6,82.3,0.17825496733582594
122,2,81.7000000000001,0.1637934929069605
2,12,80.9,-0.03101232285481029
12,2,80.89999999999995,-0.03127303025569743
104,17,80.8,0.2065017432289139
2,70,80.69999999999995,-0.05304565615970423
65,2,80.60000000000002,-0.0889313513066545
2,69,80.39999999999998,-0.08600056432751874
2,115,80.29999999999995,-0.03983602378126664
61,2,79.30000000000003,0.13240127354051937
150,2,79.09999999999995,0.03310087262435518
50,93,78.9,0.19882660393227058
42,2,78.39999999999998,-0.05553973937012661
2,44,77.90000000000005,-0.06421910161080019
139,2,76.50000000000004,0.14248880243938475
2,134,76.39999999999995,-0.08440828375102284
2,110,76.19999999999997,0.13130573931740924
2,111,75.90000000000003,0.014579561345475112
2,92,75.7,-0.004897292890386565
47,2,75.40000000000008,-0.03628844266933809
