a_id,b_id,count_south,south_consistency
2,2,9563.60000000001,0.08798984800384986
18,2,761.8000000000019,-0.051385748322910076
2,18,662.4000000000005,-0.05184162851576505
50,2,637.600000000001,-0.05724852947122168
1,2,603.5999999999998,-0.03610849905582224
91,2,513.4999999999992,-0.03892582627420384
2,1,512.599999999999,-0.049653510561238734
50,50,500.40000000000015,0.3601060071967748
2,50,480.1999999999986,-0.08398317757248591
18,18,451.10000000000014,0.2796984189955901
143,2,408.50000000000017,0.14953634287211856
76,2,388.60000000000105,-0.04698812216807027
2,91,387.39999999999947,-0.08247077338057465
2,76,369.59999999999934,0.14352311881373134
107,2,353.39999999999986,0.10547228555564853
17,2,352.1999999999993,-0.04783134598223702
2,17,327.3999999999994,-0.04464229879712158
104,2,318.9999999999996,-0.015028496579235202
1,1,278.1000000000001,0.2676951208614091
41,2,268.5000000000004,-0.00048416647972876963
57,2,264.79999999999956,-0.02158285456359283
133,2,264.29999999999967,-0.03387358391398459
2,133,258.7999999999995,-0.029256338864040794
14,2,252.69999999999996,0.17450322175912042
2,104,251.29999999999947,-0.048061572630903104
2,57,248.19999999999973,-0.048917214203754306
141,2,244.4,0.01724939679962788
2,41,242.70000000000027,0.021824887061653878
91,91,236.90000000000006,0.2724308747563031
36,2,225.60000000000042,-0.022573491815343457
2,143,223.70000000000027,-0.06127612211626055
80,2,221.3999999999995,-0.04764719264340854
89,2,218.5000000000001,-0.005893012454614544
30,2,209.40000000000032,-0.026962480471704915
127,2,207.10000000000008,0.1698018636969476
2,100,203.7999999999997,0.15401262131798926
2,49,199.80000000000013,0.023663029374330898
106,2,198.89999999999972,0.1644755529141923
124,2,193.50000000000014,0.12442239073283574
2,107,188.50000000000009,-0.08187694823780413
16,2,186.1000000000001,-0.09289476912515496
2,80,184.1999999999997,-0.08553302153341455
2,36,183.5999999999998,0.1848481166665898
17,17,182.70000000000005,0.3290799650216767
15,2,181.9,-0.010846889321096467
49,2,176.60000000000005,-0.04116345565266234
2,129,176.29999999999993,-0.0503516397003737
50,18,175.0,0.10613585799535666
80,80,172.70000000000007,0.43695627607828885
2,30,171.7000000000001,-0.03676526979351398
135,2,169.29999999999995,0.08559523496153221
2,89,167.50000000000009,-0.03352638307376513
90,2,163.7000000000001,-0.03909329293859451
84,2,160.7999999999999,0.05185597411143028
6,2,157.79999999999976,-0.09493086113651948
59,2,157.70000000000005,-0.041699496395669014
95,2,157.3999999999999,0.149817092711129
45,2,157.3000000000001,-0.0007757724299287446
1,91,156.0999999999999,0.165522650250651
2,124,154.3000000000001,0.04192720370480513
41,41,154.3,0.4847195718909743
2,45,151.3,0.034165096416519304
18,1,150.19999999999996,0.09744088888448339
146,2,148.8,0.1640203117809465
100,2,148.49999999999997,-0.03522836857886763
9,2,147.70000000000005,-0.04196023517685229
2,106,146.1999999999999,-0.011708470194160795
74,2,145.49999999999994,-0.03650652448587573
2,59,143.2,-0.04551457603200025
2,135,143.0,0.08387277664873762
34,2,142.99999999999997,-0.03861968505898405
2,14,142.79999999999995,-0.02314299090753605
8,2,140.5,-0.056813735427305334
71,2,135.90000000000003,0.1009020308794314
2,127,132.69999999999996,0.02462079467717074
66,2,132.59999999999994,0.10084476811868565
39,2,131.20000000000022,-0.09202832835847205
55,2,131.19999999999993,0.1427020834066448
2,74,130.89999999999992,-0.013489970910136763
2,87,130.40000000000012,-0.042432490099621745
42,2,129.70000000000005,0.13419898164305696
128,2,129.50000000000014,-0.06951567597333516
2,8,128.79999999999993,-0.03537735935391106
2,15,128.19999999999996,-0.06320171039822053
52,2,126.89999999999986,-0.09193710091935735
138,2,125.9,0.13848603668538909
114,2,125.69999999999996,0.1404942191715501
2,84,124.20000000000003,0.023617412637944975
77,2,121.19999999999992,-0.11578561057457956
2,111,121.09999999999992,-0.030051802964808267
2,142,120.8999999999999,-0.031656539098622684
7,2,120.69999999999996,-0.029880983760544894
57,57,120.39999999999998,0.3456027784326706
61,2,118.99999999999987,-0.05362648039934219
133,133,118.29999999999998,0.34275050361225035
65,2,117.40000000000002,-0.03663771638270611
32,2,116.6,0.13137979165372138
2,121,115.99999999999993,0.031988205185353
2,34,115.69999999999992,-0.0414724981934662
2,90,115.50000000000007,0.11342129314941221
139,2,115.49999999999993,-0.00186203644085778
129,2,115.2,0.09272196948114461
2,7,113.99999999999993,-0.008059216485409509
2,141,112.8,-0.038751989890670094
2,26,111.80000000000015,-0.08588826226372466
87,2,111.50000000000007,-0.06222157434901858
18,129,111.49999999999994,0.20054727828774763
2,24,111.30000000000014,0.13649225122258457
121,2,110.99999999999994,0.006172265411856575
142,2,110.59999999999997,-0.03384247625235235
150,2,109.89999999999996,0.08608153070627418
104,104,109.1,0.3027045020961733
2,56,107.79999999999997,-0.032842490716278726
2,79,107.50000000000007,0.12763545786954808
2,21,107.39999999999992,-0.018680971543888748
2,126,106.20000000000003,0.12670484296673362
2,4,104.90000000000013,-0.06895886550923357
99,2,104.69999999999992,-0.07905058060288057
126,2,104.59999999999994,-0.05925709136654925
56,2,103.99999999999996,-0.07139270233958586
22,2,103.2,-0.0004277835892497351
24,2,101.49999999999994,-0.03603666718165303
91,17,101.39999999999998,0.16595065306779164
5,2,101.1,0.11356652325007247
6,18,100.99999999999996,0.17632242923241884
109,2,100.8999999999999,-0.014251883835199056
18,50,100.7,0.015076062973192953
2,70,99.1999999999999,-0.02079668539708898
102,2,99.10000000000008,0.1482208065073947
47,2,99.00000000000006,-0.05404999088661227
2,125,98.70000000000003,0.0873246972748611
2,83,98.39999999999992,-0.018739003673784806
83,2,98.29999999999997,-0.012166362470151662
23,2,97.69999999999996,-0.019956874535489638
2,95,97.29999999999993,-0.010528421451238215
6,50,96.6,0.18911866825229356
147,2,95.80000000000004,-0.08471292901243847
31,2,95.7999999999999,-0.053165319330251065
50,26,95.69999999999996,0.2232676633543012
93,18,95.2,0.21152643057841453
50,129,94.29999999999997,0.1915763236298319
2,86,94.1,0.11698435062525935
2,96,93.70000000000007,0.1561103332106344
2,22,93.29999999999998,0.014783958736639699
2,99,93.20000000000007,0.1669547289029427
2,144,92.30000000000014,-0.0664127269466783
38,2,91.50000000000006,0.1263327543051586
2,71,90.29999999999997,-0.07118397887072297
93,2,89.4,-0.12501280869364645
133,57,89.39999999999998,0.27701006727154537
2,62,89.09999999999998,0.022431628194155145
2,23,89.0000000000001,0.10691766008299908
96,2,88.99999999999996,-0.10989264319312536
2,148,88.89999999999992,-0.03777790199363229
2,9,88.70000000000006,0.1116427160851853
97,2,88.4999999999999,-0.10718697467703928
53,2,88.30000000000014,-0.04438563313255386
67,2,88.20000000000022,-0.049032271491057045
86,2,87.39999999999998,0.005336045634451904
16,30,87.3,0.331386553092648
131,2,87.20000000000002,0.14013846360855545
54,2,87.00000000000004,0.09282241072095186
113,2,86.99999999999994,-0.03991835994618794
2,55,86.89999999999995,-0.019313118580736307
2,109,86.59999999999997,-0.009549260098565937
130,2,86.2,0.1265305535611194
18,26,85.59999999999998,0.18310922059564555
2,16,85.39999999999998,0.08256898280858803
62,2,85.19999999999997,-0.0027806020614054064
39,18,83.8,0.17143566714780503
2,66,83.29999999999995,0.03686197146505872
98,2,82.80000000000003,-0.03811365694935013
2,114,82.59999999999995,0.006246523269616278
2,110,82.39999999999992,-0.043839892482201326
6,1,82.3,0.17825496733582594
2,122,81.7000000000001,0.1637934929069605
12,2,80.9,-0.03101232285481029
2,12,80.89999999999995,-0.03127303025569743
17,104,80.8,0.2065017432289139
70,2,80.69999999999995,-0.05304565615970423
2,65,80.60000000000002,-0.0889313513066545
69,2,80.39999999999998,-0.08600056432751874
115,2,80.29999999999995,-0.03983602378126664
2,61,79.30000000000003,0.13240127354051937
2,150,79.09999999999995,0.03310087262435518
93,50,78.89999999999998,0.1988266039322705
2,42,78.39999999999998,-0.05553973937012661
44,2,77.90000000000005,-0.06421910161080019
2,139,76.50000000000004,0.14248880243938475
134,2,76.39999999999995,-0.08440828375102284
110,2,76.19999999999997,0.13130573931740924
111,2,75.90000000000003,0.014579561345475112
92,2,75.7,-0.004897292890386565
2,47,75.40000000000008,-0.03628844266933809
2,5,75.39999999999998,-0.07196985536863745
