a_id,b_id,count_east,east_consistency
2,2,24052.200000000845,-0.08383542437367221
48,2,973.9999999999968,0.02210466918809432
2,59,922.5999999999968,0.02728060499832863
2,48,702.1000000000013,-0.004574449958357124
59,2,658.9999999999992,-0.0016169430058484687
29,2,654.2999999999993,0.037712549022466936
2,54,629.7999999999993,0.02950258894878116
2,66,572.1000000000008,0.05013574562115725
66,2,558.4000000000005,0.04577216452376217
2,73,550.7000000000002,0.025761293127999844
41,2,530.3000000000009,0.0416865800843241
43,2,498.5000000000003,-0.005994835318246676
2,29,475.1999999999997,0.004422223798504962
2,34,468.5000000000004,0.03933120639691011
27,2,440.40000000000055,0.03406303695039355
54,2,434.3999999999999,-0.0035049820619154717
65,2,433.2000000000004,0.03571177064394138
33,2,421.20000000000016,0.058814167985644615
2,8,414.5000000000003,0.06417502972318671
2,56,409.90000000000083,0.01477183302006509
2,65,407.8000000000003,0.02965053695049816
2,45,405.5000000000005,0.045395662161177255
2,14,399.8000000000004,0.02760165119542476
34,2,399.00000000000006,0.022301595606828654
14,2,398.90000000000015,0.030742565216713657
2,41,398.89999999999986,0.014805377839486362
8,2,397.8000000000001,0.05981534955393865
73,2,397.0999999999997,0.0017455084229841752
2,1,392.3000000000007,0.05162586157222
26,2,390.6000000000008,0.021569846712055214
2,26,389.8000000000007,0.02239204218561144
2,32,383.90000000000094,0.039304731831484085
2,47,383.70000000000056,0.03261435652007052
22,2,382.60000000000053,0.050248949519516715
9,2,381.70000000000016,0.03773141694323195
63,2,381.10000000000053,0.029774406577966563
35,2,379.89999999999947,0.0611838356470675
46,2,379.70000000000056,0.032120505161529415
2,46,377.69999999999976,0.04933610066537275
2,22,375.4000000000006,0.04818753787347129
45,2,373.00000000000006,0.038291736442610885
16,2,368.5000000000006,0.028192707388010087
2,35,366.0000000000006,0.04250987451414033
56,2,364.19999999999914,0.023728212129540228
2,43,361.69999999999885,-0.01889357280831193
32,2,361.50000000000085,0.030355240331964194
2,64,360.3000000000003,0.04270722638314948
1,2,358.40000000000015,0.04959001200000044
2,4,356.1000000000003,0.026742094887844844
2,68,356.0000000000004,0.025685134829062845
2,33,351.4000000000003,0.030935111788220195
62,2,350.4000000000004,0.02614314142050051
2,13,350.30000000000024,0.02005338928736249
67,2,339.9000000000008,0.031840299280398235
2,16,337.5000000000004,0.01819328044120478
2,27,334.8999999999997,0.010649542273036331
12,2,333.7000000000004,0.027264201552377267
74,2,333.2000000000004,0.03627447596397014
58,2,330.2000000000004,0.01291166312434307
2,20,327.5000000000003,-0.005084264451196413
60,2,326.1000000000005,0.00456025025828036
2,67,325.1000000000007,0.02588073094104407
70,2,324.90000000000043,0.03647208240089896
2,11,322.9000000000003,0.017388616163992367
2,60,321.60000000000025,0.011536385039967382
2,75,320.3000000000005,0.0172299625062212
2,70,317.40000000000026,0.03668552252247989
11,2,317.1000000000003,0.013764236934647723
2,62,313.10000000000025,0.014871531535748913
3,2,313.00000000000017,0.028382820924645606
51,2,312.4000000000002,0.05615811290638018
2,71,307.8000000000004,0.03249323706354045
2,12,307.8000000000003,0.01427901327675884
71,2,307.2000000000004,0.03045413956514555
2,51,306.8000000000001,0.055362432419737866
2,9,305.09999999999974,0.01532383823429799
75,2,304.3000000000003,0.00780677779269668
21,2,299.8000000000002,0.03296603177520795
2,18,299.2000000000004,0.026291545273314586
47,2,297.0999999999998,0.01514822729008459
44,2,291.3000000000005,0.02190351146627357
6,2,289.80000000000024,0.013559405919193796
2,69,287.8000000000004,0.046688368847511465
64,2,284.1,0.01679323859268356
2,63,282.6,-0.0017007383020042654
2,50,282.5000000000003,0.011541660651237342
2,31,280.4000000000002,0.026636991149992705
2,74,280.29999999999967,0.026737159025563142
37,2,276.2000000000001,0.02138936079850107
2,10,275.70000000000005,0.011345651124490538
13,2,266.8999999999994,0.01138292445053068
4,2,265.7999999999999,0.0040481369978986135
2,21,263.8999999999998,0.025830270760773613
2,28,263.60000000000014,0.004802304405299319
31,2,261.1000000000002,0.012083612808560198
2,19,258.2000000000002,0.02093169575228149
2,17,254.10000000000028,0.02465820968962074
53,2,252.4000000000002,0.03215077674348109
18,2,249.7,0.019052317335645514
2,53,246.40000000000006,0.02597165960967567
2,38,241.50000000000009,0.008886966721362941
2,37,241.3999999999998,0.015025335760381325
5,2,240.00000000000009,0.016430966405779488
68,2,239.39999999999958,-0.003177168114810437
2,49,239.0000000000001,0.032199781045374035
28,2,238.09999999999985,0.0040458534104648135
2,5,237.10000000000005,0.02459567999919231
2,42,235.50000000000009,0.05005124491850208
2,3,234.0,-0.002038471390346156
2,58,233.5999999999995,-0.0038200573249968033
17,2,233.00000000000009,0.014556893481276596
2,57,230.40000000000043,0.03926393162737018
23,2,230.40000000000006,0.02355895323426676
2,36,226.70000000000007,0.010574594668955821
7,2,223.40000000000006,0.027588491972742338
10,2,222.1999999999995,0.016930684594731446
42,2,221.30000000000007,0.05081286794565914
69,2,220.20000000000027,0.01008971525461628
57,2,216.6000000000002,0.03418717265892009
49,2,216.0,0.022883472981157543
2,39,212.79999999999993,0.006754925851128665
2,23,212.20000000000007,0.01948169191651423
2,61,209.10000000000008,0.029873095396686575
25,2,203.4,0.018229724646228344
40,2,202.80000000000004,0.017167115695732708
61,2,201.20000000000007,0.02851036310216928
2,44,198.69999999999996,-0.006114047983931136
15,2,196.2,0.004984107140365382
38,2,194.9999999999998,0.005931491269377893
39,2,194.09999999999997,-0.005025470950879932
2,7,181.69999999999985,0.018871255481828768
20,2,178.89999999999972,-0.048149339080134086
50,2,178.39999999999984,-0.02142859996465741
19,2,171.3,-0.004672506030398907
2,25,167.60000000000005,0.012098902009398105
2,6,165.6999999999999,-0.03266028162159718
2,24,165.49999999999997,0.01665183773412447
55,2,161.40000000000006,-0.001718583078042254
72,2,150.49999999999997,0.0042377001180842755
30,2,144.3,0.013080504806871021
2,40,141.50000000000014,-0.007517414234545462
2,55,140.60000000000008,0.0014965466466935634
2,30,137.10000000000005,0.021025139644335417
2,15,128.50000000000014,-0.020917194711426758
36,2,127.00000000000021,-0.03593523580779792
24,2,122.70000000000007,0.0007980542416211996
52,2,112.89999999999996,0.0198492797075126
2,52,95.90000000000008,0.02051518367206829
2,72,85.7000000000001,-0.03410955344650076
59,43,36.0,0.16557455806744145
56,48,36.0,0.18462556903169672
48,59,34.800000000000004,0.0327942554690081
73,41,33.0,0.23016732642809445
54,27,30.0,0.22004867114793566
59,22,27.7,0.1681929168121628
34,43,26.0,0.19646402666628626
48,73,25.90000000000001,0.05968372929126885
66,48,25.6,0.0943503627217848
35,48,24.5,0.14815162584908853
32,48,22.5,0.12224855005103552
56,33,22.0,0.22100707577088435
43,59,21.70000000000001,0.03918000025890566
14,48,21.5,0.10406527785698393
65,48,21.0,0.09383755741889672
59,58,20.0,0.14550254454764508
59,46,20.0,0.1225638900152987
59,27,19.5,0.10870752803074964
68,41,19.0,0.2062160621240984
1,48,19.0,0.11320542215854355
47,48,18.5,0.10997402341383576
50,48,18.5,0.14472761433209325
59,65,18.2,0.08804868605921032
59,21,18.2,0.13855086972908415
48,54,18.1,0.0005696172980376184
59,26,18.0,0.08751122048501772
29,73,17.800000000000004,0.06973026119793478
31,43,17.5,0.1847662085461056
4,29,17.2,0.1574632405909426
54,67,17.0,0.15205012559825762
59,41,16.0,0.0650652642687409
18,29,16.0,0.16520635463039499
54,70,16.0,0.1538037277883931
32,29,16.0,0.12837819433978792
20,48,16.0,0.10581651514381717
73,27,16.0,0.14424218995147478
6,59,15.500000000000002,0.07411550527379307
59,75,15.4,0.08778636163043478
43,73,15.2,0.05687454484100105
59,14,15.2,0.06640115195106057
45,48,15.2,0.07241340424728321
48,47,15.000000000000002,0.039844268101352415
29,56,14.7,0.07431908166439677
69,29,14.4,0.15967993736838434
41,54,14.1,0.05472186761153237
47,29,14.0,0.1244284114775703
68,48,14.0,0.08726523295236982
41,59,13.600000000000005,0.004179141344380014
48,13,13.5,0.030188849541192407
59,66,13.4,0.02177026986541909
48,50,13.300000000000004,0.047967260900962906
43,20,13.300000000000002,0.08211352961750668
26,59,13.3,0.025669866170694625
73,29,13.0,0.07318315327621143
73,62,13.0,0.12760664632919375
23,43,13.0,0.16677075811819458
54,43,13.0,0.07654922564526223
20,29,13.0,0.12923896749203398
12,48,12.9,0.058598502866524516
48,48,12.7,-0.0709814861107943
48,34,12.500000000000005,-0.0011095321469352254
54,65,12.5,0.08775047239160498
47,60,12.5,0.1589593750893282
5,43,12.5,0.152098924839569
46,59,12.499999999999998,0.02819461519153452
62,48,12.499999999999998,0.04842566215815264
48,68,12.400000000000002,0.021884265729299995
48,28,12.4,0.04317973835698529
43,54,12.200000000000005,0.01707356485300967
63,59,12.1,0.02255356867088702
66,59,12.099999999999998,-0.012852908580559251
43,34,12.000000000000005,0.05533845777275879
16,15,12.0,0.2179691304680133
60,6,12.0,0.18096953481963
27,54,12.0,0.052844649465078136
59,70,12.0,0.0704402029733532
48,33,12.0,0.022853860823615332
73,63,12.0,0.11850151432520672
40,59,11.800000000000002,0.08432889645163465
29,59,11.7,-0.03966441113277125
54,3,11.6,0.12197922622361144
22,59,11.6,0.029663821033105293
48,36,11.500000000000002,0.05521509354801096
28,43,11.5,0.13404242353688456
50,29,11.5,0.13246175608748734
27,59,11.5,0.0024985505323790944
48,56,11.499999999999998,-0.009554893753226648
59,59,11.4,-0.06471069316033527
41,56,11.2,0.06827074468566388
