a_id,b_id,count_west,west_consistency
2,2,24052.200000000845,-0.08383542437367221
2,48,973.9999999999968,0.02210466918809432
59,2,922.5999999999968,0.02728060499832863
48,2,702.1000000000013,-0.004574449958357124
2,59,658.9999999999992,-0.0016169430058484687
2,29,654.2999999999993,0.037712549022466936
54,2,629.7999999999993,0.02950258894878116
66,2,572.1000000000008,0.05013574562115725
2,66,558.4000000000005,0.04577216452376217
73,2,550.7000000000002,0.025761293127999844
2,41,530.3000000000009,0.0416865800843241
2,43,498.5000000000003,-0.005994835318246676
29,2,475.1999999999997,0.004422223798504962
34,2,468.5000000000004,0.03933120639691011
2,27,440.40000000000055,0.03406303695039355
2,54,434.3999999999999,-0.0035049820619154717
2,65,433.2000000000004,0.03571177064394138
2,33,421.20000000000016,0.058814167985644615
8,2,414.5000000000003,0.06417502972318671
56,2,409.90000000000083,0.01477183302006509
65,2,407.8000000000003,0.02965053695049816
45,2,405.5000000000005,0.045395662161177255
14,2,399.8000000000004,0.02760165119542476
2,34,399.00000000000006,0.022301595606828654
2,14,398.90000000000015,0.030742565216713657
41,2,398.89999999999986,0.014805377839486362
2,8,397.8000000000001,0.05981534955393865
2,73,397.0999999999997,0.0017455084229841752
1,2,392.3000000000007,0.05162586157222
2,26,390.6000000000008,0.021569846712055214
26,2,389.8000000000007,0.02239204218561144
32,2,383.90000000000094,0.039304731831484085
47,2,383.70000000000056,0.03261435652007052
2,22,382.60000000000053,0.050248949519516715
2,9,381.70000000000016,0.03773141694323195
2,63,381.10000000000053,0.029774406577966563
2,35,379.89999999999947,0.0611838356470675
2,46,379.70000000000056,0.032120505161529415
46,2,377.69999999999976,0.04933610066537275
22,2,375.4000000000006,0.04818753787347129
2,45,373.00000000000006,0.038291736442610885
2,16,368.5000000000006,0.028192707388010087
35,2,366.0000000000006,0.04250987451414033
2,56,364.19999999999914,0.023728212129540228
43,2,361.69999999999885,-0.01889357280831193
2,32,361.50000000000085,0.030355240331964194
64,2,360.3000000000003,0.04270722638314948
2,1,358.40000000000015,0.04959001200000044
4,2,356.1000000000003,0.026742094887844844
68,2,356.0000000000004,0.025685134829062845
33,2,351.4000000000003,0.030935111788220195
2,62,350.4000000000004,0.02614314142050051
13,2,350.30000000000024,0.02005338928736249
2,67,339.9000000000008,0.031840299280398235
16,2,337.5000000000004,0.01819328044120478
27,2,334.8999999999997,0.010649542273036331
2,12,333.7000000000004,0.027264201552377267
2,74,333.2000000000004,0.03627447596397014
2,58,330.2000000000004,0.01291166312434307
20,2,327.5000000000003,-0.005084264451196413
2,60,326.1000000000005,0.00456025025828036
67,2,325.1000000000007,0.02588073094104407
2,70,324.90000000000043,0.03647208240089896
11,2,322.9000000000003,0.017388616163992367
60,2,321.60000000000025,0.011536385039967382
75,2,320.3000000000005,0.0172299625062212
70,2,317.40000000000026,0.03668552252247989
2,11,317.1000000000003,0.013764236934647723
62,2,313.10000000000025,0.014871531535748913
2,3,313.00000000000017,0.028382820924645606
2,51,312.4000000000002,0.05615811290638018
71,2,307.8000000000004,0.03249323706354045
12,2,307.8000000000003,0.01427901327675884
2,71,307.2000000000004,0.03045413956514555
51,2,306.8000000000001,0.055362432419737866
9,2,305.09999999999974,0.01532383823429799
2,75,304.3000000000003,0.00780677779269668
2,21,299.8000000000002,0.03296603177520795
18,2,299.2000000000004,0.026291545273314586
2,47,297.0999999999998,0.01514822729008459
2,44,291.3000000000005,0.02190351146627357
2,6,289.80000000000024,0.013559405919193796
69,2,287.8000000000004,0.046688368847511465
2,64,284.1,0.01679323859268356
63,2,282.6,-0.0017007383020042654
50,2,282.5000000000003,0.011541660651237342
31,2,280.4000000000002,0.026636991149992705
74,2,280.29999999999967,0.026737159025563142
2,37,276.2000000000001,0.02138936079850107
10,2,275.70000000000005,0.011345651124490538
2,13,266.8999999999994,0.01138292445053068
2,4,265.7999999999999,0.0040481369978986135
21,2,263.8999999999998,0.025830270760773613
28,2,263.60000000000014,0.004802304405299319
2,31,261.1000000000002,0.012083612808560198
19,2,258.2000000000002,0.02093169575228149
17,2,254.10000000000028,0.02465820968962074
2,53,252.4000000000002,0.03215077674348109
2,18,249.7,0.019052317335645514
53,2,246.40000000000006,0.02597165960967567
38,2,241.50000000000009,0.008886966721362941
37,2,241.3999999999998,0.015025335760381325
2,5,240.00000000000009,0.016430966405779488
2,68,239.39999999999958,-0.003177168114810437
49,2,239.0000000000001,0.032199781045374035
2,28,238.09999999999985,0.0040458534104648135
5,2,237.10000000000005,0.02459567999919231
42,2,235.50000000000009,0.05005124491850208
3,2,234.0,-0.002038471390346156
58,2,233.5999999999995,-0.0038200573249968033
2,17,233.00000000000009,0.014556893481276596
57,2,230.40000000000043,0.03926393162737018
2,23,230.40000000000006,0.02355895323426676
36,2,226.70000000000007,0.010574594668955821
2,7,223.40000000000006,0.027588491972742338
2,10,222.1999999999995,0.016930684594731446
2,42,221.30000000000007,0.05081286794565914
2,69,220.20000000000027,0.01008971525461628
2,57,216.6000000000002,0.03418717265892009
2,49,216.00000000000003,0.022883472981157543
39,2,212.79999999999993,0.006754925851128665
23,2,212.20000000000007,0.01948169191651423
61,2,209.10000000000008,0.029873095396686575
2,25,203.4,0.018229724646228344
2,40,202.80000000000004,0.017167115695732708
2,61,201.20000000000007,0.02851036310216928
44,2,198.69999999999996,-0.006114047983931136
2,15,196.2,0.004984107140365382
2,38,194.9999999999998,0.005931491269377893
2,39,194.09999999999997,-0.005025470950879932
7,2,181.69999999999985,0.018871255481828768
2,20,178.89999999999972,-0.048149339080134086
2,50,178.39999999999984,-0.02142859996465741
2,19,171.3,-0.004672506030398907
25,2,167.60000000000005,0.012098902009398105
6,2,165.6999999999999,-0.03266028162159718
24,2,165.49999999999997,0.01665183773412447
2,55,161.40000000000006,-0.001718583078042254
2,72,150.49999999999997,0.0042377001180842755
2,30,144.3,0.013080504806871021
40,2,141.50000000000014,-0.007517414234545462
55,2,140.60000000000008,0.0014965466466935634
30,2,137.10000000000005,0.021025139644335417
15,2,128.50000000000014,-0.020917194711426758
2,36,127.00000000000021,-0.03593523580779792
2,24,122.70000000000007,0.0007980542416211996
2,52,112.89999999999996,0.0198492797075126
52,2,95.90000000000008,0.02051518367206829
72,2,85.7000000000001,-0.03410955344650076
48,56,36.0,0.18462556903169672
43,59,36.0,0.16557455806744145
59,48,34.800000000000004,0.0327942554690081
41,73,33.0,0.23016732642809445
27,54,30.0,0.22004867114793566
22,59,27.7,0.1681929168121628
43,34,26.0,0.19646402666628626
73,48,25.90000000000001,0.05968372929126885
48,66,25.6,0.0943503627217848
48,35,24.5,0.14815162584908853
48,32,22.5,0.12224855005103552
33,56,22.0,0.22100707577088435
59,43,21.70000000000001,0.03918000025890566
48,14,21.5,0.10406527785698393
48,65,21.0,0.09383755741889672
58,59,20.0,0.14550254454764508
46,59,20.0,0.1225638900152987
27,59,19.5,0.10870752803074964
